Timestamp,Name (Optional),Age,Gender,Marital Status,Employment Status,Current Region ,Would you agree that you frequently shop online?,Where do you shop more often?,Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Apparel/Clothing],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Health & Personal Care],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Home Entertainment (TV, Speakers, Online Streaming Subscription, Etc.)]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Babies & Kids],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Food/Groceries],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Toys, Games, Collectibles]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Bags],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Stationery],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Books],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Sports & Travel],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Wearable Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Automobile Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Cameras/Camera Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Laptops/Computers],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Tech Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Pet Care/Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Power Tools],BACK TO SCHOOL - Please select all items that you would typically buy during this season.,SUMMER - Please select all items that you would typically buy during this season.
3/24/2022 9:53:05,,24,Male,Single,Student,Region VII - Central Visayas,1,Physical Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags",Clothing
3/24/2022 10:03:46,,21,Female,Single,Student,NCR - National Capital Region,5,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,When Needed,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,,,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Bags/School Bags",Clothing
3/24/2022 10:11:16,,21,Male,Single,Student,Region III - Central Luzon,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Tech Products/Tech Accessories, Umbrella","Sunscreen/Heat-Protectant Skin Products, Towels, Ice Cooler, Inflatable Pools"
3/24/2022 10:22:33,,45,Female,Married,Unemployed,Region III - Central Luzon,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),,,Monthly/Weekly Basis (Payday Sales),,,,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels"
3/24/2022 11:05:30,Maty Rudolf Del Rosario,20,Male,Single,Student,Other,3,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials",Clothing
3/24/2022 11:07:58,Yes,23,Male,Single,Unemployed,Region VII - Central Visayas,1,Physical Stores,"Christmas/New Year/Holiday Season, When Needed",When Needed,"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),"Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Bags/School Bags",Clothing
3/24/2022 11:41:45,Richard,22,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Ice Cooler, Inflatable Pools"
3/24/2022 11:45:26,,20,Male,Single,Student,CAR - Cordillera Administrative Region,4,Online Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Academic Books",Electric fan
3/24/2022 11:46:54,eban,20,Male,Single,Student,Region I - Ilocos Region,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Birthdays (Self/As a Gift), When Needed",Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Towels, Bags, Water Bottles, Ice Cooler"
3/24/2022 11:46:59,,20,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,Christmas/New Year/Holiday Season,When Needed,Birthdays (Self/As a Gift),When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, School Uniforms/Clothing, Umbrella, Bags/School Bags",Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)
3/24/2022 11:49:33,,18,Male,Single,Student,Region III - Central Luzon,3,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Christmas/New Year/Holiday Season,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Tech Products/Tech Accessories, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Snorkles, Towels, Water Bottles, Ice Cooler, Inflatable Pools, Pool Toys, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/24/2022 12:28:18,,21,Male,Single,Student,Region I - Ilocos Region,4,Physical Stores,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing","Clothing, Umbrellas"
3/24/2022 12:34:21,Gab A.,19,Male,Single,Student,Region III - Central Luzon,5,Online Stores,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),,When Needed,,,,When Needed,,When Needed,,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Umbrella, Raincoat","Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler"
3/24/2022 12:52:44,Ryan,21,Male,Single,Student,CAR - Cordillera Administrative Region,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swim Goggles, Towels, Bags, Water Bottles"
3/24/2022 18:07:59,Prince Taguiling,21,Male,Single,Student,CAR - Cordillera Administrative Region,3,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,,,When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags","Clothing, Towels, Bags, Ice Cooler"
3/26/2022 18:16:51,Robin Riturban,21,Male,Single,Student,Region I - Ilocos Region,5,Online Stores,,"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)","Christmas/New Year/Holiday Season, When Needed",When Needed,"Christmas/New Year/Holiday Season, When Needed",Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Christmas/New Year/Holiday Season,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Academic Books, School Uniforms/Clothing, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Pool Toys"
3/26/2022 18:17:42,Tintin A,22,Female,Single,Student,Region I - Ilocos Region,5,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Raincoat, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Bags, Water Bottles"
3/26/2022 18:25:31,Jelyn ,27,Female,Single,Unemployed,Region IV-A - CALABARZON,4,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Christmas/New Year/Holiday Season,,Christmas/New Year/Holiday Season,,,Birthdays (Self/As a Gift),,,,,,,,,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Inflatable Pools"
3/26/2022 18:27:19,TintinA,22,Female,Single,Student,Region I - Ilocos Region,4,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing, Umbrella, Raincoat, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Bags, Water Bottles"
3/26/2022 18:36:25,,22,Female,Single,Student,Region I - Ilocos Region,2,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books","Clothing, Sunscreen/Heat-Protectant Skin Products, Water Bottles"
3/26/2022 18:37:38,Gorg,22,Female,Single,Employed,Region I - Ilocos Region,4,Online Stores,Christmas/New Year/Holiday Season,"Monthly/Weekly Basis (Payday Sales), When Needed",Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Ice Cooler, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 18:45:56,CHERRYMAE CAYAT,22,Female,Single,Student,Region I - Ilocos Region,4,Physical Stores,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing, Umbrella, Bags/School Bags","Umbrellas, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 18:46:57,Althea Marie (Ganda) Balandino,22,Female,Single,Employed,CAR - Cordillera Administrative Region,4,Online Stores,When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,Monthly/Weekly Basis (Payday Sales),,,,Monthly/Weekly Basis (Payday Sales),When Needed,,When Needed,,When Needed,,When Needed,,,"Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Umbrella, Make up/Beauty Products","Umbrellas, Sunscreen/Heat-Protectant Skin Products"
3/26/2022 18:51:21,,22,Female,Single,Student,Region I - Ilocos Region,3,Physical Stores,When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks","Clothing, Water Bottles"
